thermo
   300.000  1000.000  5000.000
nc7h16     2/10/95      c   7h  16    0    0g   300.000  5000.000 1391.000    61
 2.22148969e+01 3.47675750e-02-1.18407129e-05 1.83298478e-09-1.06130266e-13    2
-3.42760081e+04-9.23040196e+01-1.26836187e+00 8.54355820e-02-5.25346786e-05    3
 1.62945721e-08-2.02394925e-12-2.56586565e+04 3.53732912e+01                   4
h                 120186h   1               g  0300.00   5000.00  1000.00      1
 0.02500000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00    2
 0.02547163e+06-0.04601176e+01 0.02500000e+02 0.00000000e+00 0.00000000e+00    3
 0.00000000e+00 0.00000000e+00 0.02547163e+06-0.04601176e+01                   4
h2                121286h   2               g  0300.00   5000.00  1000.00      1
 0.02991423e+02 0.07000644e-02-0.05633829e-06-0.09231578e-10 0.01582752e-13    2
-0.08350340e+04-0.01355110e+02 0.03298124e+02 0.08249442e-02-0.08143015e-05    3
-0.09475434e-09 0.04134872e-11-0.01012521e+05-0.03294094e+02                   4
o                 120186o   1               g  0300.00   5000.00  1000.00      1
 0.02542060e+02-0.02755062e-03-0.03102803e-07 0.04551067e-10-0.04368052e-14    2
 0.02923080e+06 0.04920308e+02 0.02946429e+02-0.01638166e-01 0.02421032e-04    3
-0.01602843e-07 0.03890696e-11 0.02914764e+06 0.02963995e+02                   4
o2                121386o   2               g  0300.00   5000.00  1000.00      1
 0.03697578e+02 0.06135197e-02-0.01258842e-05 0.01775281e-09-0.01136435e-13    2
-0.01233930e+05 0.03189166e+02 0.03212936e+02 0.01127486e-01-0.05756150e-05    3
 0.01313877e-07-0.08768554e-11-0.01005249e+05 0.06034738e+02                   4
oh                121286o   1h   1          g  0300.00   5000.00  1000.00      1
 0.02882730e+02 0.01013974e-01-0.02276877e-05 0.02174684e-09-0.05126305e-14    2
 0.03886888e+05 0.05595712e+02 0.03637266e+02 0.01850910e-02-0.01676165e-04    3
 0.02387203e-07-0.08431442e-11 0.03606782e+05 0.01358860e+02                   4
h2o                20387h   2o   1          g  0300.00   5000.00  1000.00      1
 0.02672146e+02 0.03056293e-01-0.08730260e-05 0.01200996e-08-0.06391618e-13    2
-0.02989921e+06 0.06862817e+02 0.03386842e+02 0.03474982e-01-0.06354696e-04    3
 0.06968581e-07-0.02506588e-10-0.03020811e+06 0.02590233e+02                   4
n2                121286n   2               g  0300.00   5000.00  1000.00      1
 0.02926640e+02 0.01487977e-01-0.05684761e-05 0.01009704e-08-0.06753351e-13    2
-0.09227977e+04 0.05980528e+02 0.03298677e+02 0.01408240e-01-0.03963222e-04    3
 0.05641515e-07-0.02444855e-10-0.01020900e+05 0.03950372e+02                   4
n2o               121286n   2o   1          g  0300.00   5000.00  1000.00      1
 0.04718977e+02 0.02873714e-01-0.01197496e-04 0.02250552e-08-0.01575337e-12    2
 0.08165811e+05-0.01657250e+02 0.02543058e+02 0.09492193e-01-0.09792775e-04    3
 0.06263845e-07-0.01901826e-10 0.08765100e+05 0.09511222e+02                   4
no                121286n   1o   1          g  0300.00   5000.00  1000.00      1
 0.03245435e+02 0.01269138e-01-0.05015890e-05 0.09169283e-09-0.06275419e-13    2
 0.09800840e+05 0.06417294e+02 0.03376542e+02 0.01253063e-01-0.03302751e-04    3
 0.05217810e-07-0.02446263e-10 0.09817961e+05 0.05829590e+02                   4
no2               121286n   1o   2          g  0300.00   5000.00  1000.00      1
 0.04682859e+02 0.02462429e-01-0.01042259e-04 0.01976902e-08-0.01391717e-12    2
 0.02261292e+05 0.09885985e+01 0.02670600e+02 0.07838501e-01-0.08063865e-04    3
 0.06161715e-07-0.02320150e-10 0.02896291e+05 0.01161207e+03                   4
n                 120186n   1               g  0300.00   5000.00  1000.00      1
 0.02450268e+02 0.01066146e-02-0.07465337e-06 0.01879652e-09-0.01025984e-13    2
 0.05611604e+06 0.04448758e+02 0.02503071e+02-0.02180018e-03 0.05420529e-06    3
-0.05647560e-09 0.02099904e-12 0.05609890e+06 0.04167566e+02                   4
co                121286c   1o   1          g  0300.00   5000.00  1000.00      1
 0.03025078e+02 0.01442689e-01-0.05630828e-05 0.01018581e-08-0.06910952e-13    2
-0.01426835e+06 0.06108218e+02 0.03262452e+02 0.01511941e-01-0.03881755e-04    3
 0.05581944e-07-0.02474951e-10-0.01431054e+06 0.04848897e+02                   4
hco               121286h   1c   1o   1     g  0300.00   5000.00  1000.00      1
 0.03557271e+02 0.03345573e-01-0.01335006e-04 0.02470573e-08-0.01713851e-12    2
 0.03916324e+05 0.05552299e+02 0.02898330e+02 0.06199147e-01-0.09623084e-04    3
 0.01089825e-06-0.04574885e-10 0.04159922e+05 0.08983614e+02                   4
co2               121286c   1o   2          g  0300.00   5000.00  1000.00      1
 0.04453623e+02 0.03140169e-01-0.01278411e-04 0.02393997e-08-0.01669033e-12    2
-0.04896696e+06-0.09553959e+01 0.02275725e+02 0.09922072e-01-0.01040911e-03    3
 0.06866687e-07-0.02117280e-10-0.04837314e+06 0.01018849e+03                   4
ch3               121286c   1h   3          g  0300.00   5000.00  1000.00      1
 0.02844052e+02 0.06137974e-01-0.02230345e-04 0.03785161e-08-0.02452159e-12    2
 0.01643781e+06 0.05452697e+02 0.02430443e+02 0.01112410e+00-0.01680220e-03    3
 0.01621829e-06-0.05864953e-10 0.01642378e+06 0.06789794e+02                   4
ch4               121286c   1h   4          g  0300.00   5000.00  1000.00      1
 0.01683479e+02 0.01023724e+00-0.03875129e-04 0.06785585e-08-0.04503423e-12    2
-0.01008079e+06 0.09623395e+02 0.07787415e+01 0.01747668e+00-0.02783409e-03    3
 0.03049708e-06-0.01223931e-09-0.09825229e+05 0.01372219e+03                   4
ho2                20387h   1o   2          g  0300.00   5000.00  1000.00      1
 0.04072191e+02 0.02131296e-01-0.05308145e-05 0.06112269e-09-0.02841165e-13    2
-0.01579727e+04 0.03476029e+02 0.02979963e+02 0.04996697e-01-0.03790997e-04    3
 0.02354192e-07-0.08089024e-11 0.01762274e+04 0.09222724e+02                   4
h2o2              120186h   2o   2          g  0300.00   5000.00  1000.00      1
 0.04573167e+02 0.04336136e-01-0.01474689e-04 0.02348904e-08-0.01431654e-12    2
-0.01800696e+06 0.05011370e+01 0.03388754e+02 0.06569226e-01-0.01485013e-05    3
-0.04625806e-07 0.02471515e-10-0.01766315e+06 0.06785363e+02                   4
ch2o              121286c   1h   2o   1     g  0300.00   5000.00  1000.00      1
 0.02995606e+02 0.06681321e-01-0.02628955e-04 0.04737153e-08-0.03212517e-12    2
-0.01532037e+06 0.06912572e+02 0.01652731e+02 0.01263144e+00-0.01888168e-03    3
 0.02050031e-06-0.08413237e-10-0.01486540e+06 0.01378482e+03                   4
ch3o              121686c   1h   3o   1     g  0300.00   3000.00  1000.00      1
 0.03770800e+02 0.07871497e-01-0.02656384e-04 0.03944431e-08-0.02112616e-12    2
 0.01278325e+04 0.02929575e+02 0.02106204e+02 0.07216595e-01 0.05338472e-04    3
-0.07377636e-07 0.02075611e-10 0.09786011e+04 0.01315218e+03                   4
c2h6              121686c   2h   6          g  0300.00   4000.00  1000.00      1
 0.04825938e+02 0.01384043e+00-0.04557259e-04 0.06724967e-08-0.03598161e-12    2
-0.01271779e+06-0.05239507e+02 0.01462539e+02 0.01549467e+00 0.05780507e-04    3
-0.01257832e-06 0.04586267e-10-0.01123918e+06 0.01443229e+03                   4
c2h4              121286c   2h   4          g  0300.00   5000.00  1000.00      1
 0.03528419e+02 0.01148518e+00-0.04418385e-04 0.07844601e-08-0.05266848e-12    2
 0.04428289e+05 0.02230389e+02-0.08614880e+01 0.02796163e+00-0.03388677e-03    3
 0.02785152e-06-0.09737879e-10 0.05573046e+05 0.02421149e+03                   4
c2h5               12387c   2h   5          g  0300.00   5000.00  1000.00      1
 0.07190480e+02 0.06484077e-01-0.06428065e-05-0.02347879e-08 0.03880877e-12    2
 0.01067455e+06-0.01478089e+03 0.02690702e+02 0.08719133e-01 0.04419839e-04    3
 0.09338703e-08-0.03927773e-10 0.01287040e+06 0.01213820e+03                   4
c7h15-2    2/10/95      c   7h  15    0    0g   300.000  5000.000 1382.000    61
 2.16368842e+01 3.23324804e-02-1.09273807e-05 1.68357060e-09-9.71774091e-14    2
-1.05873616e+04-8.52209653e+01-3.79155767e-02 7.56726570e-02-4.07473634e-05    3
 9.32678943e-09-4.92360745e-13-2.35605303e+03 3.37321506e+01                   4
c7h15o2    7/23/98      c   7h  15o   2    0g   300.000  5000.000 1390.00      1 
 2.49023689e+01 3.50716920e-02-1.20440306e-05 1.87464822e-09-1.08947791e-13    2
-2.82976050e+04-9.73923542e+01 2.37499334e+00 8.34651906e-02-5.13897320e-05    3
 1.64217662e-08-2.19505216e-12-1.99237961e+04 2.53067342e+01                   4
c7ket12    7/23/98      c   7h  14o   3    0g   300.000  5000.000 1396.00      1
 2.97472906e+01 3.06622294e-02-1.05563590e-05 1.64627343e-09-9.58171675e-14    2
-5.66856828e+04-1.22432490e+02 5.82433697e-01 1.01207869e-01-7.65855996e-05    3
 3.00738606e-08-4.82902792e-12-4.68054419e+04 3.33331449e+01                   4
c5h11co    2/29/96      c   6h  11o   1    0g   300.000  5000.000 1383.00      1
 1.94783812e+01 2.50466029e-02-8.54861346e-06 1.32557944e-09-7.68503296e-14    2
-2.07923937e+04-7.21995578e+01 2.14479069e+00 6.17863563e-02-3.74134690e-05    3
 1.13283795e-08-1.36917698e-12-1.43451172e+04 2.23128045e+01                   4
ic8h18     7/20/ 0 thermc   8h  18    0    0g   300.000  5000.000 1396.000    71
 2.71373590e+01 3.79004890e-02-1.29437358e-05 2.00760372e-09-1.16400580e-13    2
-4.07958177e+04-1.23277495e+02-4.20868893e+00 1.11440581e-01-7.91346582e-05    3
 2.92406242e-08-4.43743191e-12-2.99446875e+04 4.49521701e+01                   4
c8h17      7/20/ 0 thermc   8h  17    0    0g   300.000  5000.000 1393.000    71
 2.64569179e+01 3.55420752e-02-1.20520984e-05 1.86089357e-09-1.07571894e-13    2
-1.70392791e+04-1.16245511e+02-3.09104262e+00 1.02318896e-01-6.84858873e-05    3
 2.30183940e-08-3.07013080e-12-6.62829069e+03 4.31173932e+01                   4
c8h17oo    7/20/ 0 thermc   8h  17o   2    0g   300.000  5000.000 1394.000    81
 3.09351615e+01 3.74102564e-02-1.29070970e-05 2.01544850e-09-1.17398911e-13    2
-3.77457753e+04-1.36730800e+02-3.07002356e+00 1.22640438e-01-9.72202764e-05    3
 4.09127625e-08-7.09102547e-12-2.64014308e+04 4.40345691e+01                   4
ic8ket21   7/20/ 0 thermc   8h  16o   3    0g   300.000  5000.000 1393.000    91
 3.36880261e+01 3.51530815e-02-1.22449632e-05 1.92459229e-09-1.12625930e-13    2
-6.57501190e+04-1.47550024e+02-3.65722567e+00 1.27159677e-01-1.00732622e-04    3
 4.13367943e-08-6.92386575e-12-5.32214668e+04 5.13886594e+01                   4
c6h13co            thermc   7h  13o   1    0g   300.000  5000.000 1389.000    61
 2.32412991e+01 2.94013946e-02-1.01210871e-05 1.57812201e-09-9.18349976e-14    2
-2.67973204e+04-9.47460288e+01 7.18129174e-01 7.97814021e-02-5.30878535e-05    3
 1.83105964e-08-2.61673962e-12-1.86909366e+04 2.71126725e+01                   4
c4h9              p10/84c   4h   9    0    0g   200.000  6000.000 1000.00      1
 9.43040607e+00 2.34271349e-02-8.53599182e-06 1.39748355e-09-8.44057456e-14    2
 2.14214862e+03-2.42207994e+01 3.54885235e+00 1.78747638e-02 5.00782825e-05    3
-7.94475071e-08 3.35802354e-11 4.74011588e+03 1.11849382e+01 6.89397210e+03    4
c3h7            n-l 9/84c   3h   7    0    0g   300.000  5000.000 1000.00      1
 0.77026987e+01 0.16044203e-01-0.52833220e-05 0.76298590e-09-0.39392284e-13    2
